branch_name	branch_id	S_sub	N_sub	branch_length	is_fg	is_mg
Node15	268	0.0000	0.4406	0.0000	yes	no
Node14	269	0.0000	2.4894	0.0000	yes	no
Node13	270	1.0618	2.0096	0.0055	yes	no
Node12	271	1.0575	0.6532	0.0033	yes	no
wrightii	272	0.0000	1.0001	0.0000	yes	no
Node134	273	0.0000	0.0002	0.0000	yes	no
Node4	274	0.0000	0.9999	0.0000	yes	no
Node5	275	0.0000	0.0000	0.0000	yes	no
Node6	276	0.0000	6.6836	0.0000	yes	no
Node7	277	0.9910	1.8048	0.0000	yes	no
Node8	278	0.0090	0.1882	0.0000	yes	no
Node9	279	5.9536	2.0492	0.0141	yes	no
Node10	280	0.0005	0.6403	0.0000	yes	no
Node11	281	0.0001	1.6247	0.0000	yes	no
Node51	282	0.0000	0.0000	0.0000	yes	no
yunnanense	283	0.0000	0.0000	0.0000	yes	no
Node70	284	0.0000	0.0000	0.0000	yes	no
Node65	285	0.0000	0.9983	0.0000	yes	no
Node64	286	1.0000	3.5717	0.0087	yes	no
Node63	287	0.0000	0.4301	0.0000	yes	no
Node62	288	0.0000	0.0003	0.0000	yes	no
Node56	289	0.0188	2.0040	0.0084	yes	no
Node55	290	0.9901	2.3552	0.0090	yes	no
Node54	291	0.0000	0.4651	0.0000	yes	no
Node53	292	0.0000	0.6421	0.0000	yes	no
Node52	293	0.0000	0.0000	0.0000	yes	no
Root	294	0.0000	0.0000	0.0000	yes	no
